time,eul_z_sensor1,eul_y_sensor1,eul_x_sensor1,gyro_x_sensor1,gyro_y_sensor1,gyro_z_sensor1,linacc_x_sensor1,linacc_y_sensor1,linacc_z_sensor1,quat_w_sensor1,quat_x_sensor1,quat_y_sensor1,quat_z_sensor1,time,eul_z_sensor2,eul_y_sensor2,eul_x_sensor2,gyro_x_sensor2,gyro_y_sensor2,gyro_z_sensor2,linacc_x_sensor2,linacc_y_sensor2,linacc_z_sensor2,quat_w_sensor2,quat_x_sensor2,quat_y_sensor2,quat_z_sensor2,time,eul_z_sensor3,eul_y_sensor3,eul_x_sensor3,gyro_x_sensor3,gyro_y_sensor3,gyro_z_sensor3,linacc_x_sensor3,linacc_y_sensor3,linacc_z_sensor3,quat_w_sensor3,quat_x_sensor3,quat_y_sensor3,quat_z_sensor3,time,eul_z_sensor4,eul_y_sensor4,eul_x_sensor4,gyro_x_sensor4,gyro_y_sensor4,gyro_z_sensor4,linacc_x_sensor4,linacc_y_sensor4,linacc_z_sensor4,quat_w_sensor4,quat_x_sensor4,quat_y_sensor4,quat_z_sensor4
0.02,353.88,87.94,179.94,0.0,0.0,0.0,0.09,0.0,0.02,0.69,0.04,0.72,0.04,0.02,316.81,87.62,179.75,0.0,0.0,0.0,0.27,0.01,0.01,0.64,0.26,0.67,0.25,0.02,267.19,81.37,102.69,0.0,0.0,0.0,0.05,0.03,0.07,0.48,0.44,0.57,0.5,0.02,15.63,88.56,179.94,0.0,0.0,0.0,0.26,0.03,0.04,0.69,0.1,0.71,0.1
0.03,353.88,87.94,179.94,0.0,0.0,0.0,0.09,0.03,0.02,0.69,0.04,0.72,0.04,0.03,316.81,87.62,179.75,0.0,0.0,0.0,0.29,0.04,0.03,0.64,0.26,0.67,0.25,0.03,267.19,81.37,102.69,0.0,0.0,0.0,0.07,0.01,0.02,0.48,0.44,0.57,0.5,0.03,15.63,88.56,179.94,0.0,0.0,0.0,0.26,0.02,0.01,0.69,0.1,0.71,0.1
0.04,353.88,87.94,179.94,0.0,0.0,0.0,0.08,0.01,0.02,0.69,0.04,0.72,0.04,0.04,316.81,87.62,179.75,0.0,0.0,0.0,0.3,0.02,0.03,0.64,0.26,0.67,0.25,0.04,267.19,81.37,102.69,0.0,0.0,0.0,0.04,0.04,0.03,0.48,0.44,0.57,0.5,0.04,15.63,88.56,179.94,0.0,0.0,0.0,0.27,0.02,0.02,0.69,0.1,0.71,0.1
0.05,353.88,87.94,179.94,0.0,0.0,0.0,0.1,0.01,0.01,0.69,0.04,0.72,0.04,0.05,316.81,87.62,179.75,0.0,0.0,0.0,0.28,0.01,0.03,0.64,0.26,0.67,0.25,0.05,267.19,81.37,102.69,0.0,0.0,0.0,0.05,0.03,0.02,0.48,0.44,0.57,0.5,0.05,15.63,88.56,179.94,0.0,0.0,0.0,0.26,0.03,0.0,0.69,0.1,0.71,0.1
0.06,353.88,87.94,179.94,0.0,0.0,0.0,0.11,0.03,0.02,0.69,0.04,0.72,0.04,0.06,316.81,87.62,179.75,0.0,0.0,0.0,0.28,0.04,0.02,0.64,0.26,0.67,0.25,0.06,267.19,81.37,102.69,0.0,0.0,0.0,0.04,0.03,0.04,0.48,0.44,0.57,0.5,0.06,15.63,88.56,179.94,0.0,0.0,0.0,0.27,0.02,0.02,0.69,0.1,0.71,0.1
0.07,353.88,87.94,179.94,0.0,0.0,0.0,0.07,0.01,0.0,0.69,0.04,0.72,0.04,0.07,316.81,87.62,179.75,0.0,0.0,0.0,0.27,0.02,0.0,0.64,0.26,0.67,0.25,0.07,267.19,81.37,102.69,0.0,0.0,0.0,0.05,0.05,0.05,0.48,0.44,0.57,0.5,0.07,15.63,88.56,179.94,0.0,0.0,0.0,0.29,0.02,0.02,0.69,0.1,0.71,0.1
0.08,353.88,87.94,179.94,0.0,0.0,0.0,0.1,0.01,0.01,0.69,0.04,0.72,0.04,0.08,316.81,87.62,179.75,0.0,0.0,0.0,0.28,0.03,0.0,0.64,0.26,0.67,0.25,0.08,267.19,81.37,102.69,0.0,0.0,0.0,0.05,0.03,0.05,0.48,0.44,0.57,0.5,0.08,15.63,88.56,179.94,0.0,0.0,0.0,0.28,0.02,0.03,0.69,0.1,0.71,0.1
0.1,353.88,87.94,179.94,0.0,0.0,0.0,0.09,0.01,0.03,0.69,0.04,0.72,0.04,0.1,316.81,87.62,179.75,0.0,0.0,0.0,0.29,0.04,0.0,0.64,0.26,0.67,0.25,0.1,267.19,81.37,102.69,0.0,0.0,0.0,0.05,0.01,0.04,0.48,0.44,0.57,0.5,0.1,15.63,88.56,179.94,0.0,0.0,0.0,0.27,0.02,0.0,0.69,0.1,0.71,0.1
0.11,353.88,87.94,179.94,0.0,0.0,0.0,0.08,0.02,0.02,0.69,0.04,0.72,0.04,0.11,316.81,87.62,179.75,0.0,0.0,0.0,0.3,0.01,0.02,0.64,0.26,0.67,0.25,0.11,267.19,81.37,102.69,0.0,0.0,0.0,0.05,0.02,0.01,0.48,0.44,0.57,0.5,0.11,15.63,88.56,179.94,0.0,0.0,0.0,0.27,0.02,0.01,0.69,0.1,0.71,0.1
0.12,353.88,87.94,179.94,0.0,0.0,0.0,0.11,0.02,0.0,0.69,0.04,0.72,0.04,0.12,316.81,87.62,179.75,0.0,0.0,0.0,0.29,0.02,0.01,0.64,0.26,0.67,0.25,0.12,267.19,81.37,102.69,0.0,0.0,0.0,0.04,0.03,0.08,0.48,0.44,0.57,0.5,0.12,15.63,88.56,179.94,0.0,0.0,0.0,0.28,0.02,0.01,0.69,0.1,0.71,0.1
0.14,353.88,87.94,179.94,0.0,0.0,0.0,0.1,0.01,0.0,0.69,0.04,0.72,0.04,0.14,316.81,87.62,179.75,0.0,0.0,0.0,0.27,0.03,0.0,0.64,0.26,0.67,0.25,0.14,267.19,81.37,102.69,0.0,0.0,0.0,0.05,0.01,0.04,0.48,0.44,0.57,0.5,0.14,15.63,88.56,179.94,0.0,0.0,0.0,0.27,0.04,0.01,0.69,0.1,0.71,0.1
0.15,353.88,87.94,179.94,0.0,0.0,0.0,0.09,0.0,0.01,0.69,0.04,0.72,0.04,0.15,316.81,87.62,179.75,0.0,0.0,0.0,0.3,0.03,0.01,0.64,0.26,0.67,0.25,0.15,267.19,81.37,102.69,0.0,0.0,0.0,0.05,0.02,0.03,0.48,0.44,0.57,0.5,0.15,15.63,88.56,179.94,0.0,0.01,0.0,0.27,0.02,0.0,0.69,0.1,0.71,0.1
0.17,353.88,87.94,179.94,0.0,0.0,0.0,0.08,0.0,0.01,0.69,0.04,0.72,0.04,0.17,316.81,87.62,179.75,0.0,0.0,0.0,0.27,0.02,0.04,0.64,0.26,0.67,0.25,0.17,267.19,81.37,102.69,0.0,0.0,0.0,0.04,0.02,0.02,0.48,0.44,0.57,0.5,0.17,15.63,88.56,179.94,0.0,0.0,0.0,0.27,0.01,0.02,0.69,0.1,0.71,0.1
0.18,353.88,87.94,179.94,0.0,0.0,0.0,0.09,0.02,0.02,0.69,0.04,0.72,0.04,0.18,316.81,87.62,179.75,0.0,0.0,0.0,0.27,0.02,0.0,0.64,0.26,0.67,0.25,0.18,267.19,81.37,102.69,0.0,0.0,0.0,0.05,0.02,0.05,0.48,0.44,0.57,0.5,0.18,15.63,88.56,179.94,0.0,0.0,0.0,0.28,0.02,0.03,0.69,0.1,0.71,0.1
0.19,353.88,87.94,179.94,0.0,0.0,0.0,0.09,0.02,0.01,0.69,0.04,0.72,0.04,0.19,316.81,87.62,179.75,0.0,0.0,0.0,0.3,0.01,0.01,0.64,0.26,0.67,0.25,0.19,267.19,81.37,102.69,0.0,0.0,0.0,0.05,0.04,0.03,0.48,0.44,0.57,0.5,0.19,15.63,88.56,179.94,0.0,0.0,0.0,0.27,0.03,0.02,0.69,0.1,0.71,0.1
0.2,353.88,87.94,179.94,0.0,0.0,0.0,0.07,0.03,0.03,0.69,0.04,0.72,0.04,0.2,316.81,87.62,179.75,0.0,0.0,0.0,0.29,0.02,0.0,0.64,0.26,0.67,0.25,0.2,267.19,81.37,102.69,0.0,0.0,0.0,0.05,0.01,0.04,0.48,0.44,0.57,0.5,0.2,15.63,88.56,179.94,0.0,0.0,0.0,0.27,0.05,0.0,0.69,0.1,0.71,0.1
0.21,353.88,87.94,179.94,0.0,0.0,0.0,0.08,0.02,0.02,0.69,0.04,0.72,0.04,0.21,316.81,87.62,179.75,0.0,0.0,0.0,0.29,0.02,0.01,0.64,0.26,0.67,0.25,0.21,267.19,81.37,102.69,0.0,0.0,0.0,0.04,0.03,0.02,0.48,0.44,0.57,0.5,0.21,15.63,88.56,179.94,0.0,0.0,0.0,0.28,0.03,0.05,0.69,0.1,0.71,0.1
0.22,353.88,87.94,179.94,0.0,0.0,0.0,0.1,0.02,0.0,0.69,0.04,0.72,0.04,0.22,316.81,87.62,179.75,0.0,0.0,0.0,0.29,0.02,0.02,0.64,0.26,0.67,0.25,0.22,267.19,81.37,102.69,0.0,0.0,0.0,0.06,0.01,0.04,0.48,0.44,0.57,0.5,0.22,15.63,88.56,179.94,0.0,0.0,0.0,0.27,0.0,0.04,0.69,0.1,0.71,0.1
0.23,353.88,87.94,179.94,0.0,0.0,0.0,0.06,0.01,0.0,0.69,0.04,0.72,0.04,0.23,316.81,87.62,179.75,0.0,0.0,0.0,0.28,0.03,0.0,0.64,0.26,0.67,0.25,0.23,267.19,81.37,102.69,0.0,0.0,0.0,0.03,0.03,0.04,0.48,0.44,0.57,0.5,0.23,15.63,88.56,179.94,0.0,0.0,0.0,0.28,0.05,0.02,0.69,0.1,0.71,0.1
0.29,353.88,87.94,179.94,0.0,0.0,0.0,0.08,0.04,0.0,0.69,0.04,0.72,0.04,0.29,316.81,87.62,179.75,0.0,0.0,0.0,0.27,0.02,0.03,0.64,0.26,0.67,0.25,0.29,267.19,81.37,102.69,0.0,0.0,0.0,0.05,0.03,0.03,0.48,0.44,0.57,0.5,0.29,15.63,88.56,179.94,0.0,0.0,0.0,0.28,0.03,0.02,0.69,0.1,0.71,0.1
0.3,353.88,87.94,179.94,0.0,0.0,0.0,0.09,0.01,0.01,0.69,0.04,0.72,0.04,0.3,316.81,87.62,179.75,0.0,0.0,0.0,0.29,0.02,0.0,0.64,0.26,0.67,0.25,0.3,267.19,81.37,102.69,0.0,0.0,0.0,0.05,0.02,0.04,0.48,0.44,0.57,0.5,0.3,15.63,88.56,179.94,0.0,0.0,0.0,0.29,0.04,0.01,0.69,0.1,0.71,0.1
