0.01,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00
0.02,0.13,1.81,0.88,0.00,0.00,0.00,0.00,0.00,0.27
0.03,0.13,1.81,0.88,0.00,0.00,0.00,0.00,0.00,0.23
0.04,0.13,1.81,0.88,0.00,0.00,0.00,0.00,0.02,0.26
0.05,0.13,1.81,0.88,0.00,0.00,0.00,0.00,0.02,0.24
0.06,0.13,1.81,0.88,0.00,0.00,0.00,0.00,0.01,0.24
0.07,0.13,1.81,0.88,0.00,0.00,0.00,0.00,0.00,0.27
0.08,0.13,1.81,0.88,0.00,0.00,0.00,0.00,0.02,0.25
0.09,0.13,1.81,0.88,0.00,0.00,0.00,0.02,0.00,0.22
0.1,0.13,1.81,0.88,0.00,0.00,0.00,0.01,0.00,0.29
0.11,0.13,1.81,0.88,0.00,0.00,0.00,0.01,0.00,0.24
0.12,0.13,1.81,0.88,0.00,0.00,0.00,0.00,0.00,0.28
0.14,0.13,1.81,0.88,0.00,0.00,0.00,0.00,0.00,0.24
0.15,0.13,1.81,0.88,0.00,0.00,0.00,0.00,0.00,0.26
0.16,0.13,1.81,0.88,0.00,0.00,0.00,0.00,0.01,0.29
0.17,0.13,1.81,0.88,0.00,0.00,0.00,0.00,0.01,0.24
0.18,0.13,1.81,0.88,0.00,0.00,0.00,0.01,0.01,0.23
0.19,0.13,1.81,0.88,0.00,0.00,0.00,0.00,0.01,0.26
0.2,0.13,1.81,0.88,0.00,0.00,0.00,0.00,0.01,0.27
0.21,0.13,1.81,0.88,0.00,0.00,0.00,0.01,0.00,0.27
0.22,0.13,1.81,0.88,0.00,0.00,0.00,0.00,0.01,0.25
0.23,0.13,1.81,0.88,0.00,0.00,0.00,0.00,0.01,0.27
0.24,0.13,1.81,0.88,0.00,0.00,0.00,0.01,0.00,0.22
0.26,0.13,1.81,0.88,0.00,0.00,0.00,0.00,0.01,0.28
0.27,0.13,1.81,0.88,0.00,0.00,0.00,0.00,0.02,0.24
0.28,0.13,1.81,0.88,0.00,0.00,0.00,0.00,0.00,0.24
0.29,0.13,1.81,0.88,0.00,0.00,0.00,0.00,0.02,0.25
0.3,0.13,1.81,0.88,0.00,0.00,0.00,0.00,0.01,0.23
0.31,0.13,1.81,0.88,0.00,0.00,0.00,0.01,0.00,0.27
0.32,0.13,1.81,0.88,0.00,0.00,0.00,0.01,0.00,0.26
0.33,0.13,1.81,0.88,0.00,0.00,0.00,0.00,0.01,0.24
0.34,0.13,1.81,0.88,0.00,0.00,0.00,0.01,0.00,0.23
0.35,0.13,1.81,0.88,0.00,0.00,0.00,0.01,0.01,0.28
0.37,0.13,1.81,0.88,0.00,0.00,0.00,0.00,0.02,0.25
0.38,0.13,1.81,0.88,0.00,0.00,0.00,0.03,0.02,0.27
0.39,0.13,1.81,0.88,0.00,0.00,0.00,0.01,0.01,0.29
0.4,0.13,1.81,0.88,0.00,0.00,0.00,0.01,0.01,0.28
0.41,0.13,1.81,0.88,0.00,0.00,0.00,0.00,0.01,0.27
0.42,0.13,1.81,0.88,0.00,0.00,0.00,0.01,0.01,0.23
0.43,0.13,1.81,0.88,0.00,0.00,0.00,0.00,0.01,0.23
0.44,0.13,1.81,0.88,0.00,0.00,0.00,0.01,0.02,0.26
0.45,0.13,1.81,0.88,0.00,0.00,0.00,0.00,0.00,0.26
0.46,0.13,1.81,0.88,0.00,0.00,0.00,0.02,0.01,0.25
0.48,0.13,1.81,0.88,0.00,0.00,0.00,0.00,0.02,0.27
0.49,0.13,1.81,0.88,0.00,0.01,0.00,0.01,0.00,0.25
0.5,0.13,1.81,0.88,0.00,0.00,0.00,0.00,0.02,0.26
0.51,0.13,1.81,0.88,0.00,0.00,0.00,0.00,0.00,0.25
0.52,0.13,1.81,0.88,0.00,0.00,0.00,0.00,0.00,0.28
0.53,0.13,1.81,0.88,0.00,0.00,0.00,0.01,0.00,0.26
0.54,0.13,1.81,0.88,0.00,0.00,0.00,0.00,0.01,0.24
0.55,0.13,1.81,0.88,0.00,0.00,0.00,0.01,0.02,0.25
0.56,0.13,1.81,0.88,0.00,0.00,0.00,0.00,0.03,0.24
0.57,0.13,1.81,0.88,0.00,0.00,0.00,0.01,0.01,0.27
0.59,0.13,1.81,0.88,0.00,0.00,0.00,0.00,0.00,0.27
0.6,0.13,1.81,0.88,0.00,0.00,0.00,0.01,0.01,0.29
0.61,0.13,1.81,0.88,0.00,0.00,0.00,0.00,0.00,0.26
0.62,0.13,1.81,0.88,0.00,0.00,0.00,0.00,0.01,0.25
0.63,0.13,1.81,0.88,0.00,0.00,0.00,0.00,0.01,0.25
0.64,0.13,1.81,0.88,0.00,0.00,0.00,0.00,0.01,0.26
0.65,0.13,1.81,0.88,0.00,0.00,0.00,0.01,0.00,0.25
0.66,0.13,1.81,0.88,0.00,0.00,0.00,0.00,0.00,0.23
0.67,0.13,1.81,0.88,0.00,0.00,0.00,0.00,0.02,0.26
0.68,0.13,1.81,0.88,0.00,0.00,0.00,0.01,0.00,0.27
0.69,0.13,1.81,0.88,0.00,0.00,0.00,0.00,0.00,0.29
0.7,0.13,1.81,0.88,0.00,0.00,0.00,0.00,0.00,0.30
0.71,0.13,1.81,0.88,0.00,0.00,0.00,0.01,0.01,0.24
0.72,0.13,1.81,0.88,0.00,0.00,0.00,0.02,0.01,0.25
0.73,0.13,1.81,0.88,0.00,0.00,0.00,0.01,0.00,0.28
0.74,0.13,1.81,0.88,0.00,0.00,0.00,0.00,0.00,0.28
0.75,0.13,1.81,0.88,0.00,0.00,0.00,0.03,0.00,0.22
0.76,0.13,1.81,0.88,0.00,0.00,0.00,0.00,0.00,0.24
0.77,0.13,1.81,0.88,0.00,0.00,0.00,0.01,0.01,0.27
0.78,0.13,1.81,0.88,0.00,0.00,0.00,0.00,0.00,0.27
0.8,0.13,1.81,0.88,0.00,0.00,0.00,0.00,0.00,0.26
0.81,0.13,1.81,0.88,0.00,0.00,0.00,0.02,0.00,0.25
0.82,0.13,1.81,0.88,0.00,0.00,0.00,0.01,0.00,0.25
0.83,0.13,1.81,0.88,0.00,0.00,0.00,0.01,0.00,0.21
0.84,0.13,1.81,0.88,0.00,0.00,0.00,0.01,0.00,0.28
0.85,0.13,1.81,0.88,0.00,0.00,0.00,0.00,0.01,0.23
0.86,0.13,1.81,0.88,0.00,0.00,0.00,0.02,0.01,0.27
0.87,0.13,1.81,0.88,0.00,0.00,0.00,0.01,0.01,0.25
0.88,0.13,1.81,0.88,0.00,0.00,0.00,0.00,0.00,0.27
0.89,0.13,1.81,0.88,0.00,0.00,0.00,0.00,0.00,0.27
0.91,0.13,1.81,0.88,0.00,0.00,0.00,0.00,0.00,0.26
0.92,0.13,1.81,0.88,0.00,0.00,0.00,0.00,0.00,0.28
0.93,0.13,1.81,0.88,0.00,0.00,0.00,0.00,0.00,0.27
0.94,0.13,1.81,0.88,0.00,0.00,0.00,0.01,0.01,0.25
0.95,0.13,1.81,0.88,0.00,0.00,0.00,0.00,0.01,0.22
0.96,0.13,1.81,0.88,0.00,0.00,0.00,0.01,0.00,0.26
0.97,0.13,1.81,0.88,0.00,0.00,0.00,0.00,0.02,0.27
0.98,0.13,1.81,0.88,0.00,0.00,0.00,0.00,0.00,0.24
0.99,0.13,1.81,0.88,0.00,0.00,0.00,0.00,0.00,0.26
1.0,0.13,1.81,0.88,0.00,0.00,0.00,0.00,0.00,0.27
1.01,0.13,1.81,0.88,0.00,0.00,0.00,0.00,0.01,0.25
1.02,0.13,1.81,0.88,0.00,0.00,0.00,0.01,0.00,0.28
1.03,0.13,1.81,0.88,0.00,0.00,0.00,0.00,0.00,0.23
1.04,0.13,1.81,0.88,0.00,0.00,0.00,0.00,0.01,0.28
1.05,0.13,1.81,0.88,0.00,0.00,0.00,0.01,0.02,0.28
1.06,0.13,1.81,0.88,0.00,0.00,0.00,0.00,0.02,0.25
1.07,0.13,1.81,0.88,0.00,0.00,0.00,0.00,0.00,0.26
1.08,0.13,1.81,0.88,0.00,0.00,0.00,0.01,0.00,0.23
1.09,0.13,1.81,0.88,0.00,0.00,0.00,0.00,0.00,0.26
1.1,0.13,1.81,0.88,0.00,0.00,0.00,0.01,0.00,0.28
1.12,0.13,1.81,0.88,0.00,0.00,0.00,0.01,0.00,0.23
1.13,0.13,1.81,0.88,0.00,0.01,0.00,0.00,0.01,0.27
1.14,0.13,1.81,0.88,0.00,0.00,0.00,0.00,0.01,0.26
1.15,0.13,1.81,0.88,0.00,0.00,0.00,0.01,0.01,0.27
1.16,0.13,1.81,0.88,0.00,0.00,0.00,0.00,0.00,0.26
1.17,0.13,1.81,0.88,0.00,0.00,0.00,0.00,0.00,0.28
1.18,0.13,1.81,0.88,0.00,0.00,0.00,0.00,0.00,0.26
1.19,0.13,1.81,0.88,0.00,0.00,0.00,0.00,0.02,0.25
1.2,0.13,1.81,0.88,0.00,0.00,0.00,0.00,0.00,0.21
1.21,0.13,1.81,0.88,0.00,0.00,0.00,0.00,0.02,0.25
1.23,0.13,1.81,0.88,0.00,0.00,0.00,0.00,0.00,0.26
1.24,0.13,1.81,0.88,0.00,0.00,0.00,0.00,0.01,0.24
1.25,0.13,1.81,0.88,0.00,0.00,0.00,0.00,0.01,0.26
1.26,0.13,1.81,0.88,0.00,0.00,0.00,0.01,0.01,0.26
1.27,0.13,1.81,0.88,0.00,0.00,0.00,0.00,0.00,0.24
1.28,0.13,1.81,0.88,0.00,0.00,0.00,0.01,0.02,0.28
1.29,0.13,1.81,0.88,0.00,0.00,0.00,0.00,0.00,0.25
1.3,0.13,1.81,0.88,0.00,0.00,0.00,0.01,0.00,0.25
1.31,0.13,1.81,0.88,0.00,0.00,0.00,0.00,0.02,0.26
1.32,0.13,1.81,0.88,0.00,0.00,0.00,0.01,0.00,0.26
1.34,0.13,1.81,0.88,0.00,0.00,0.00,0.00,0.01,0.24
1.35,0.13,1.81,0.88,0.00,0.00,0.00,0.00,0.01,0.26
1.36,0.13,1.81,0.88,0.00,0.00,0.00,0.00,0.01,0.26
1.37,0.13,1.81,0.88,0.00,0.00,0.00,0.00,0.00,0.25
1.38,0.13,1.81,0.88,0.00,0.00,0.00,0.00,0.00,0.26
1.39,0.13,1.81,0.88,0.00,0.00,0.00,0.01,0.00,0.23
1.4,0.13,1.81,0.88,0.00,0.00,0.00,0.00,0.01,0.25
1.41,0.13,1.81,0.88,0.00,0.00,0.00,0.00,0.00,0.24
1.42,0.13,1.81,0.88,0.00,0.00,0.00,0.00,0.00,0.27
1.43,0.13,1.81,0.88,0.00,0.00,0.00,0.01,0.01,0.25
1.45,0.13,1.81,0.88,0.00,0.00,0.00,0.00,0.01,0.24
1.46,0.13,1.81,0.88,0.00,0.00,0.00,0.01,0.00,0.25
1.47,0.13,1.81,0.88,0.00,0.00,0.00,0.00,0.00,0.27
1.48,0.13,1.81,0.88,0.00,0.00,0.00,0.00,0.00,0.25
1.49,0.13,1.81,0.88,0.00,0.00,0.00,0.00,0.02,0.28
1.5,0.13,1.81,0.88,0.00,0.00,0.00,0.02,0.02,0.27
1.51,0.13,1.81,0.88,0.00,0.00,0.00,0.00,0.01,0.25
1.52,0.13,1.81,0.88,0.00,0.00,0.00,0.00,0.01,0.25
1.53,0.13,1.81,0.88,0.00,0.00,0.00,0.00,0.02,0.22
1.54,0.13,1.81,0.88,0.00,0.00,0.00,0.00,0.00,0.27
1.56,0.13,1.81,0.88,0.00,0.00,0.00,0.01,0.00,0.22
1.57,0.13,1.81,0.88,0.00,0.00,0.00,0.01,0.02,0.25
